category,date_end,date_peak,date_start,duration,duration_extreme,duration_moderate,duration_severe,duration_strong,index_end,index_peak,index_start,intensity_cumulative,intensity_cumulative_abs,intensity_cumulative_relThresh,intensity_max,intensity_max_abs,intensity_max_relThresh,intensity_mean,intensity_mean_abs,intensity_mean_relThresh,intensity_var,intensity_var_abs,intensity_var_relThresh,n_events,rate_decline,rate_onset,time_end,time_peak,time_start
Moderate,1984-06-13,1984-06-05,1984-06-03,11,0,11,0,0,894,886,884,18.73685908533072,262.049994142726,4.203999906033239,1.9958401757751716,24.2299994584173,0.6519999854266985,1.7033508259391565,23.82272674024782,0.38218180963938536,0.1514125914049745,0.23104862840526616,0.1595276048638072,54,0.08673310452709222,0.2155647334737651,724440,724432,724430
Moderate,1984-06-22,1984-06-19,1984-06-17,6,0,6,0,0,903,900,898,12.014820668087001,142.6499968115241,4.03399990983316,2.121983423644398,23.9099994655699,0.8519999809563821,2.0024701113478334,23.77499946858735,0.6723333183055266,0.17376150950325614,0.20694201624023056,0.2629383054347639,54,0.18474222334020546,0.27344902970062107,724449,724446,724444
Moderate,1984-07-14,1984-07-10,1984-06-26,19,0,19,0,0,925,921,907,36.43239587988732,442.04999011941254,6.983999843895589,2.186280942868361,23.4299994762987,0.6419999856501981,1.9174945199940696,23.265788953653292,0.3675789391523994,0.17818603350792656,0.23513300949567598,0.1698997548186328,54,0.17730945425538358,0.05229124989988041,724471,724467,724453
Moderate,1984-10-08,1984-10-06,1984-10-04,5,0,5,0,0,1011,1009,1007,5.828402073581724,104.6699976604431,0.969999978318782,1.2888980428162107,21.0599995292723,0.3039999932050783,1.1656804147163449,20.93399953208862,0.19399999566375642,0.1074527639799846,0.11146299585335102,0.10452941935912369,54,0.1444022006291057,0.1528650103573071,724557,724555,724553
Moderate,1984-10-24,1984-10-23,1984-10-15,10,0,10,0,0,1027,1026,1018,13.753195284878664,212.1099952589721,4.139999907463796,1.8350963777152103,21.7199995145202,0.763999982923302,1.3753195284878665,21.21099952589721,0.4139999907463796,0.27454748603169776,0.30985318411799595,0.2115277712258864,54,0.2868319495117137,0.11507859084863312,724573,724572,724564
Moderate,1984-11-17,1984-10-30,1984-10-29,20,0,19,0,0,1051,1033,1032,25.730963612196017,428.9699904117733,4.695999895036355,1.5469421141835262,21.4999995194376,0.4899999890476998,1.286548180609801,21.448499520588665,0.23479999475181773,0.16683674146948488,0.2474121000751073,0.17475742798161986,54,0.03626684454713089,0.3508172557031841,724597,724579,724578
Moderate,1985-07-25,1985-07-17,1985-07-14,12,0,12,0,0,1301,1293,1290,19.85151470779917,270.5599939525127,3.4039999239145615,2.2227272230454567,23.1999994814396,0.8539999809116026,1.6542928923165974,22.54666616270939,0.28366666032621346,0.27309691062150804,0.3473790679182531,0.2678828456886563,54,0.13231890807793184,0.2915387577496499,724847,724839,724836
Moderate,1988-06-13,1988-06-11,1988-06-07,7,0,7,0,0,2355,2353,2349,10.91812647772393,165.16999630816278,1.8619999583810412,1.746721724043077,23.7399994693696,0.5199999883770801,1.5597323539605614,23.595713758308968,0.2659999940544345,0.17298496071099992,0.1863067431145904,0.20688160403160927,54,0.21724517420753528,0.09576675635347422,725901,725899,725895
Moderate,1988-07-02,1988-06-28,1988-06-27,6,0,6,0,0,2374,2370,2369,10.730082404792,139.5299968812614,1.4499999675899993,2.030192792087206,23.5299994740635,0.5299999881536017,1.7883470674653335,23.254999480210234,0.2416666612649999,0.15381189765889605,0.19128947966599713,0.19532678733343953,54,0.14579124253255749,0.2764003611314436,725920,725916,725915
Moderate,1988-11-07,1988-10-25,1988-10-23,16,0,16,0,0,2502,2489,2487,19.982396247573423,339.5599924102425,3.191999928653189,1.557685915596224,21.4699995201081,0.509999988600601,1.248899765473339,21.222499525640156,0.19949999554082432,0.1479933677970186,0.14656482879502236,0.15193995184936113,54,0.04968880615393103,0.2623911787081042,726048,726035,726033
Strong,1989-02-06,1989-02-03,1989-01-31,7,0,5,0,2,2593,2590,2587,16.524655278028064,174.57999609783292,6.723999849706782,2.7935536565674433,25.3599994331598,1.345999969914498,2.360665039718295,24.93999944254756,0.9605714071009689,0.39483079144255584,0.3864859918470687,0.4004450495754513,54,0.2983903908117611,0.4225147485253607,726139,726136,726133
Moderate,1989-02-15,1989-02-12,1989-02-11,5,0,5,0,0,2602,2599,2598,9.064021835970905,123.8899972308428,1.2979999709874832,1.9163911417383233,24.8599994443357,0.33599999248979984,1.8128043671941811,24.777999446168558,0.25959999419749663,0.11871247207246775,0.10186265034915834,0.09162881437993915,54,0.1259582813247166,0.12710743517545234,726148,726145,726144
Moderate,1989-05-10,1989-05-08,1989-05-04,7,0,7,0,0,2686,2684,2680,13.50192807286395,175.9799960665404,4.2759999044238555,2.1117905864065847,25.2999994345009,0.7659999828785011,1.928846867551993,25.1399994380772,0.610857129203408,0.22550395733062076,0.24284033012494696,0.2522444498135834,54,0.2542369089178962,0.29128863750510764,726232,726230,726226
Moderate,1989-06-09,1989-06-06,1989-05-29,12,0,12,0,0,2716,2713,2705,19.593911407772197,287.3099935781213,2.8079999372365485,1.9984848038152663,24.1899994593114,0.6119999863208001,1.632825950647683,23.94249946484344,0.23399999476971237,0.21258228915602065,0.29183684858610853,0.21311185944568195,54,0.20859897211826148,0.046110839999972966,726262,726259,726251
Moderate,1989-09-14,1989-09-10,1989-09-09,6,0,6,0,0,2813,2809,2808,8.275922680032355,126.8699971642344,1.7099999617784576,1.5276859162667975,21.3099995236844,0.4199999906123004,1.3793204466720592,21.144999527372402,0.28499999362974293,0.07785047053127624,0.09742518279356774,0.07004522192130631,54,0.09303030095091734,0.2690817203400198,726359,726355,726354
Moderate,1996-04-20,1996-04-17,1996-04-15,6,0,6,0,0,5223,5220,5218,10.356721531594626,151.4499966148287,2.873999935761134,2.3468594516758756,25.859999421984,1.1119999751448972,1.726120255265771,25.241666102471452,0.47899998929352233,0.44292033429221683,0.4458481206300789,0.4435774917690276,54,0.29530105597330597,0.6134159642505395,728769,728766,728764
Moderate,1996-08-25,1996-08-24,1996-08-21,5,0,5,0,0,5350,5349,5346,7.195041161492288,107.7299975920468,2.975999933481269,1.6043525812198105,21.6999995149672,0.7699999827891979,1.4390082322984576,21.54599951840936,0.5951999866962538,0.146415777700995,0.1382172172559719,0.1533132706234359,54,0.26871441089001397,0.2247264806125427,728896,728895,728892
Moderate,1996-09-17,1996-09-11,1996-09-09,9,0,9,0,0,5373,5367,5365,12.300165014326108,190.0499957520515,2.6019999418408624,1.7222038182550854,21.4899995196611,0.613999986276081,1.3666850015917897,21.11666619467239,0.2891111046489847,0.2731382606747667,0.2980678454191064,0.2509858038359177,54,0.1087921145422462,0.16925619456394686,728919,728913,728911
Strong,1996-12-24,1996-12-20,1996-11-17,38,0,33,0,5,5471,5467,5434,70.23702322346844,866.3099806364625,27.513999385014152,2.502561927534476,23.7799994684756,1.2799999713897812,1.8483427164070643,22.79763106938059,0.7240526153951092,0.3140736102320619,0.46828596946702,0.3001373256620231,54,0.2711662014688147,0.04704165019643157,729017,729013,728980
Moderate,1997-01-19,1997-01-09,1997-01-07,13,0,11,0,0,5497,5487,5485,25.292864448434702,311.10999304614984,6.565999853238711,2.60614319243685,24.4499994534999,1.2019999731331978,1.9456049575719,23.93153792662691,0.5050769117875932,0.45352131027947634,0.45234169452369166,0.483089797947454,54,0.09054309124656798,0.37612120371423713,729043,729033,729031
Moderate,1998-09-02,1998-08-30,1998-08-24,10,0,10,0,0,6088,6085,6079,12.721404674332149,213.2399952337146,3.319999925792345,1.3949861947149884,21.4399995207787,0.44199999012059976,1.2721404674332148,21.323999523371462,0.3319999925792345,0.11329619694308232,0.10974515689356883,0.09868738300626143,54,0.1562337627416898,0.10286501147490221,729634,729631,729625
Moderate,1998-09-12,1998-09-08,1998-09-06,7,0,7,0,0,6098,6094,6092,11.011156778674803,149.76999665237963,3.355999924987458,2.1706886567154413,22.0199995078146,1.0839999757706806,1.5730223969535433,21.395713807482803,0.479428560712494,0.29293535956710764,0.30775022314816575,0.2921950638990521,54,0.2119375526549266,0.405641864211411,729644,729640,729638
Strong,1999-08-15,1999-05-22,1999-05-13,95,0,49,0,46,6435,6350,6341,239.85933348170116,2285.189948922023,110.32599753402174,3.654407631816227,26.399999409914,2.349999947473396,2.5248350892810647,24.054631041284456,1.1613262898318077,0.48290143630923255,1.2051379302467582,0.501310491212047,54,0.030255343837458124,0.20840219919859398,729981,729896,729887
Moderate,2000-04-27,2000-04-23,2000-04-21,7,0,7,0,0,6691,6687,6685,11.728126459618956,175.8699960689991,1.7579999607055576,1.9422589097551324,25.4099994320422,0.49199998900289543,1.6754466370884222,25.124285152714155,0.2511428515293654,0.1510065644099861,0.1699459660066852,0.13954561519918918,54,0.10612794375578677,0.27558126105789144,730237,730233,730231
Strong,2000-05-19,2000-05-04,2000-05-03,17,0,15,0,2,6713,6698,6697,38.7868586371783,430.7799903713166,15.023999664187375,2.718126661008224,26.0099994186312,1.4419999677687976,2.2815799198340176,25.33999943360686,0.8837646861286691,0.3361279077269577,0.47869920715679265,0.40831007047883894,54,0.06923220319794327,0.5673461764832043,730259,730244,730243
Moderate,2005-08-03,2005-07-25,2005-07-22,13,0,13,0,0,8615,8606,8603,22.823911335575833,291.4199934862554,6.5179998543112525,2.5428649569366755,23.269999479875,1.215999972820299,1.7556854873519872,22.4169225758658,0.5013846041777886,0.3771653380435323,0.42517659842436517,0.34576681865144115,54,0.1435000692878115,0.35964973615641427,732161,732152,732149
Moderate,2007-08-05,2007-08-04,2007-07-27,10,0,10,0,0,9347,9346,9338,14.734572673411378,220.5399950705468,2.6439999409020594,1.7132506504110836,22.2099995035678,0.5199999883771014,1.473457267341138,22.05399950705468,0.2643999940902059,0.15562076084141976,0.15232858878981062,0.16923072628730468,54,0.2970247867493896,0.05402041687713342,732893,732892,732884
Strong,2007-08-24,2007-08-17,2007-08-13,12,0,10,0,2,9366,9359,9355,18.22782328403647,259.5699941981584,7.431999833881786,2.2125068375989194,22.3099995013326,1.2919999711214984,1.518985273669706,21.63083284984653,0.6193333194901488,0.3289656183689681,0.3221143186053029,0.3284015084228229,54,0.17056932584770906,0.24073461353559367,732912,732905,732901
Moderate,2007-09-24,2007-09-21,2007-09-16,9,0,9,0,0,9397,9394,9389,12.84319530521871,190.3199957460165,3.551999920606729,1.6835812295866326,21.3999995216727,0.6299999859183991,1.4270217005798567,21.146666194001835,0.3946666578451921,0.1744056426840592,0.17575234709114812,0.16805554261648373,54,0.20857142390948522,0.19099423565080056,732943,732940,732935
Moderate,2007-10-26,2007-10-24,2007-10-22,5,0,5,0,0,9429,9427,9425,7.137823531917274,106.6299976166338,1.8319999590516787,1.6620109821348557,21.5599995180964,0.5999999865889016,1.4275647063834547,21.32599952332676,0.3663999918103357,0.20077337186629352,0.1979494840819958,0.20278618829120534,54,0.307774097803884,0.21521211640173304,732975,732973,732971
Severe,2008-04-28,2008-04-14,2008-04-02,27,0,13,5,9,9614,9600,9588,67.12115552451857,699.2999843694269,34.95399921871741,3.7033607987660986,27.1899993922561,2.555999942868901,2.4859687231303176,25.899999421089884,1.2945925636562003,0.7083722592725088,0.7469443760981662,0.8089385301163471,54,0.16906620691737925,0.17746666269997605,733160,733146,733134
Moderate,2008-05-13,2008-05-10,2008-05-05,9,0,9,0,0,9629,9626,9621,15.322506544567485,223.53999500349153,2.963999933749264,2.022864968559503,25.1199994385242,0.5939999867230021,1.702500727174165,24.83777722261017,0.32933332597214043,0.26120242815217476,0.17655831363216656,0.1890749368245465,54,0.099523807299266,0.16782619209151342,733175,733172,733167
Moderate,2008-07-10,2008-07-06,2008-07-03,8,0,8,0,0,9687,9683,9680,14.302231085278894,184.9199958667159,1.7739999603480605,1.917079846957101,23.2599994800985,0.34399999231100153,1.7877788856598618,23.11499948333949,0.22174999504350756,0.09957500968899276,0.14239030547632575,0.09317959600613723,54,0.09612794397932944,0.07798504351467272,733233,733229,733226
Moderate,2008-09-07,2008-09-03,2008-08-30,9,0,9,0,0,9746,9742,9738,11.487603049017224,191.2099957261235,2.3539999473838797,1.6940220007031748,21.6599995158613,0.6819999847561,1.2764003387796916,21.24555508068039,0.26155554970932,0.24830135325047525,0.24694178299258707,0.24139368462190844,54,0.12674624754961805,0.18273339046717435,733292,733288,733284
Moderate,2008-10-04,2008-09-29,2008-09-26,9,0,9,0,0,9773,9768,9765,15.184737952605687,193.0899956841022,5.5459998760371825,2.059145959484148,21.819999512285,0.941999978944704,1.6871931058450764,21.454443964900246,0.6162222084485758,0.2367502500059622,0.23276650208211422,0.20605596286044264,54,0.18442273567247885,0.24161353257670218,733319,733314,733311
Strong,2010-10-20,2010-09-29,2010-09-23,28,0,24,0,4,10519,10498,10492,43.58939296509507,597.2699866499752,16.547999630123424,2.5591459483082453,22.3199995011091,1.4419999677688011,1.5567640344676812,21.331070951784827,0.5909999867901223,0.4657571733304967,0.45634681346511985,0.393423608770289,54,0.07415529336460083,0.1930175841578525,734065,734044,734038
Strong,2010-11-22,2010-11-03,2010-10-30,24,0,20,0,4,10552,10533,10529,40.28663821798082,526.4699882324786,14.921999666467517,2.6958126119202213,22.689999492839,1.6619999628514037,1.6786099257492009,21.936249509686608,0.6217499861028132,0.40344445227525977,0.4312463671572621,0.4043287814701393,54,0.07783145972815711,0.37207529012240276,734098,734079,734075
Strong,2010-12-13,2010-12-02,2010-11-27,17,0,13,0,4,10573,10562,10557,31.64451719902587,387.4999913386999,12.643999717384457,2.6686776263008554,23.559999473393,1.7119999617338806,1.8614421881779923,22.79411713757058,0.7437646892579092,0.4808164431894722,0.46088224879229617,0.5110546684432746,54,0.12735896229883537,0.3075657331704578,734119,734108,734103
Strong,2011-02-01,2011-01-28,2010-12-24,40,0,34,0,5,10623,10619,10584,84.28831355928482,963.599978461862,29.41699934247904,3.269008191394793,25.6699994262308,1.9519999563694022,2.1072078389821205,24.089999461546547,0.735424983561976,0.44391852434015017,0.5774166477470262,0.4637069492283541,54,0.40132842690350873,0.05275481975747779,734169,734165,734130
