missing,seas,thresh
False,21.647421223996705,22.97561238968084
False,21.679701631039464,23.018193033890373
False,21.71273332978446,23.060773678099913
False,21.745286045157954,23.101741419119698
False,21.777139137589398,23.14561238588104
False,21.807644652896933,23.19077367519419
False,21.836767679756107,23.227225287282657
False,21.864072524837738,23.255934964060298
False,21.889548016518003,23.280773673182534
False,21.914166086069688,23.304644640390915
False,21.93914304403675,23.3265801237716
False,21.964876879517973,23.348515607152272
False,21.991399710931844,23.369805929257048
False,22.018302966494634,23.39364463840163
False,22.045796210767357,23.417773670120365
False,22.07417582853386,23.44316076632711
False,22.10246102035491,23.468225281895904
False,22.130460176978833,23.49293495876295
False,22.157504043213454,23.516773667907533
False,22.184431845990982,23.54451560277132
False,22.21182187470428,23.57258011827306
False,22.240199195673128,23.604838182068164
False,22.269854271116973,23.639354310328926
False,22.300658627361834,23.679354309434856
False,22.332686276415547,23.721934953644396
False,22.366062899046145,23.76548333976779
False,22.399933866031006,23.80483817759782
False,22.434089709423407,23.84548333797965
False,22.467874096323627,23.884515595171727
False,22.500453344303704,23.91967688470839
False,22.53166825772414,23.950644625951696
False,22.561140397827845,23.974838173798027
False,22.588977291494153,23.99483817335099
False,22.61590369781871,24.01419301162805
False,22.642622032649516,24.037741398198474
False,22.669181171840822,24.059999462217096
False,22.696142489489834,24.080967203683915
False,22.72396122926742,24.11516075130673
False,22.753011640571728,24.153225266584954
False,22.782975332123744,24.189031717397516
False,22.81341800704726,24.224515587572128
False,22.844067357011543,24.259999457746744
False,22.874688777916266,24.29548332792136
False,22.904687380792737,24.330967198095973
False,22.933521341885438,24.35999945551157
False,22.961144578246085,24.387096229099456
False,22.98836563614903,24.411934938221687
False,23.01545403101905,24.43774138925777
False,23.04275468674175,24.469031711139024
False,23.0699115078077,24.503225258761837
False,23.09704319272004,24.53483816128104
False,23.12378107789255,24.564515579972536
False,23.14939481841765,24.591934934198374
False,23.172665310845424,24.61354783694109
False,23.193570211928222,24.628386546286837
False,23.212152811708375,24.639999449253075
False,23.228499690270517,24.64322525563258
False,23.243233665642904,24.642580094356674
False,23.256814170855346,24.639999449253068
False,23.283701476496507,24.636451062235604
False,23.297191212265368,24.637741384787407
False,23.31103285418472,24.64645106201209
False,23.324613359397162,24.657418803702427
False,23.336911920775666,24.66806396475481
False,23.348306977077318,24.67451557751383
False,23.358805510566995,24.679354287083097
False,23.36839914252684,24.686451061118017
False,23.376392439373728,24.68354783537646
False,23.382291056753413,24.680644609634896
False,23.386488794405707,24.682580093462605
False,23.388872539639397,24.68483815792826
False,23.38869519011118,24.686773641755966
False,23.386448297269347,24.688386544945722
False,23.382890135081038,24.685160738566214
False,23.378781770419337,24.677741383893338
False,23.374577050502154,24.661612351995785
False,23.370303904389036,24.64483815882233
False,23.366536274254003,24.63193493330429
False,23.362753283136218,24.617741385234442
False,23.359156020264525,24.600644611423032
False,23.35579056858719,24.580644611870067
False,23.35246980340517,24.559031709127346
False,23.348959120618115,24.536773645108724
False,23.345832462400054,24.515483323003952
False,23.343385876782346,24.49580590408894
