category,date_end,date_peak,date_start,duration,duration_extreme,duration_moderate,duration_severe,duration_strong,index_end,index_peak,index_start,intensity_cumulative,intensity_cumulative_abs,intensity_cumulative_relThresh,intensity_max,intensity_max_abs,intensity_max_relThresh,intensity_mean,intensity_mean_abs,intensity_mean_relThresh,intensity_var,intensity_var_abs,intensity_var_relThresh,n_events,rate_decline,rate_onset,time_end,time_peak,time_start
Moderate,1984-06-13,1984-06-05,1984-06-02,12,0,12,0,0,894,886,883,19.738274685448037,285.7599936127662,3.5669031460798664,1.975956589620477,24.2299994584173,0.6492257919402888,1.6448562237873363,23.81333280106385,0.29724192883998884,0.17475615521810223,0.22339550873866046,0.18185162597637577,39,0.0917682584388337,0.22137372396229843,724440,724432,724429
Moderate,1984-07-14,1984-07-10,1984-06-26,19,0,19,0,0,925,921,907,36.6800560538594,442.04999011941254,8.467677230087638,2.2413187093445615,23.4299994762987,0.7578064346746309,1.9305292659926,23.265788953653292,0.44566722263619146,0.18252475125731632,0.23513300949567598,0.17292032225780807,39,0.1870331820315639,0.05644603458471285,724471,724467,724453
Moderate,1984-10-25,1984-10-23,1984-10-19,7,0,7,0,0,1028,1026,1022,10.234050246679839,149.38999666087318,3.413354762415217,1.831348932673233,21.7199995145202,0.856258045377313,1.4620071780971198,21.341428094410453,0.4876221089164596,0.26983647839037167,0.2724716737712687,0.2704534502326468,39,0.40345275913286327,0.1616936681968476,724574,724572,724568
Moderate,1985-07-20,1985-07-17,1985-07-14,7,0,7,0,0,1296,1293,1290,12.491952977692371,159.42999643646183,2.600774135416554,2.2081613298315332,23.1999994814396,0.7943225628906809,1.7845647110989102,22.775713776637406,0.3715391622023648,0.2747884843160374,0.2807569879311753,0.2754058655086437,39,0.23437432033799763,0.2803541849968911,724842,724839,724836
Moderate,1988-11-02,1988-10-25,1988-10-23,11,0,11,0,0,2497,2489,2487,13.649757981583182,233.28999478556207,2.5521934913410966,1.554869777740393,21.4699995201081,0.5692257937284282,1.2408870892348347,21.208181344142005,0.2320175901219179,0.18055536207121634,0.16397439465908856,0.19238402043172617,39,0.05814616625826767,0.26304807018902066,726043,726035,726033
Moderate,1989-02-07,1989-02-03,1989-01-31,8,0,8,0,0,2594,2590,2587,17.88646898614776,198.90999555401498,6.444451468858368,2.7458046129355296,25.3599994331598,1.3134193254814548,2.23580862326847,24.863749444251873,0.805556433607296,0.4322590202339463,0.4140029345764369,0.4307739718744712,39,0.2838635559644654,0.4206979632007979,726140,726136,726133
Moderate,1989-05-12,1989-05-06,1989-05-04,9,0,9,0,0,2688,2682,2680,16.775703881676378,224.89999497309321,4.339290225589899,2.1852314449801113,25.3599994331598,0.7933548209767878,1.863967097964042,24.98888833034369,0.4821433583988777,0.31490290768293683,0.3546968718766225,0.3090284211378302,39,0.12411404544544578,0.5300593501001771,726234,726228,726226
Moderate,1989-06-08,1989-06-06,1989-05-24,16,0,16,0,0,2715,2713,2700,26.39441334410121,384.83999139815603,4.642967638157323,1.969401004589752,24.1899994593114,0.6421290179053969,1.6496508340063256,24.052499462384752,0.2901854773848327,0.1894851004194991,0.25459526135100047,0.19075931131537274,39,0.2259825773713729,0.04421629030520422,726261,726259,726246
Strong,1996-04-24,1996-04-18,1996-04-15,10,0,8,0,2,5227,5221,5218,17.322835301065428,251.35999438166618,5.020774081325417,2.4639793282013045,25.8699994217604,1.2499354559327003,1.732283530106543,25.135999438166618,0.5020774081325416,0.4038328562397389,0.4036384430610235,0.40906122499883935,39,0.1660612859272367,0.44493251598457,728773,728767,728764
Strong,1996-12-24,1996-12-21,1996-11-17,38,0,37,0,1,5471,5468,5434,70.33240362985526,866.3099806364625,26.944902623540838,2.4679470261406102,23.809999467805,1.1880322315098937,1.8508527271014543,22.79763106938059,0.709076384830022,0.3078726901285354,0.46828596946702,0.30153859304519137,39,0.32845957803875947,0.044000345477192615,729017,729014,728980
