category,date_end,date_peak,date_start,duration,duration_extreme,duration_moderate,duration_severe,duration_strong,index_end,index_peak,index_start,intensity_cumulative,intensity_cumulative_abs,intensity_cumulative_relThresh,intensity_max,intensity_max_abs,intensity_max_relThresh,intensity_mean,intensity_mean_abs,intensity_mean_relThresh,intensity_var,intensity_var_abs,intensity_var_relThresh,n_events,rate_decline,rate_onset,time_end,time_peak,time_start
Moderate,1984-06-12,1984-06-05,1984-06-03,10,0,10,0,0,893,886,884,16.934923728858852,238.6699946653097,2.952274443815309,1.9797995560289152,24.2299994584173,0.5861960653288669,1.6934923728858853,23.86699946653097,0.2952274443815309,0.14235552190122908,0.19277188160823244,0.14464340753412916,55,0.06277221271673454,0.1947046896468251,724439,724432,724430
Moderate,1984-06-22,1984-06-19,1984-06-17,6,0,6,0,0,903,900,898,11.817881764694445,142.6499968115241,3.2249803200729836,2.0884448298928895,23.9099994655699,0.6558823382811099,1.9696469607824074,23.77499946858735,0.537496720012164,0.17012222254257692,0.20694201624023056,0.17180326341142724,55,0.1823752380314733,0.2793081555892144,724449,724446,724444
Moderate,1984-07-14,1984-07-10,1984-06-26,19,0,19,0,0,925,921,907,36.77614674996545,442.04999011941254,9.881764485007764,2.2422567424058357,23.4299994762987,0.833450961763095,1.9355866710508132,23.265788953653292,0.5200928676319876,0.18496060904258907,0.23513300949567598,0.1864840785628181,55,0.18703067096073886,0.05734087940422412,724471,724467,724453
Moderate,1984-10-24,1984-10-23,1984-10-19,6,0,6,0,0,1027,1026,1022,8.888597543451429,128.4599971286952,2.8503920931515303,1.7711391598934227,21.7199995145202,0.7643137084064975,1.4814329239085715,21.409999521449198,0.47506534885858837,0.20931474843137207,0.23173259934551482,0.20899448721216682,55,0.2882565340060583,0.1579617890834852,724573,724572,724568
Moderate,1984-11-17,1984-11-14,1984-10-29,20,0,17,0,0,1051,1048,1032,24.08437638599566,428.9699904117733,3.5534901166518296,1.442473904991509,21.8299995120615,0.38313724633819746,1.2042188192997831,21.448499520588665,0.17767450583259148,0.18626526860732825,0.2474121000751073,0.17844288859371754,55,0.15320724090580132,0.03149924061530557,724597,724594,724578
Moderate,1985-07-09,1985-07-06,1985-07-05,5,0,5,0,0,1285,1282,1281,7.909824811048015,114.25999744609001,0.8587058631594111,1.6725111709565503,22.9699994865805,0.26215685688545065,1.581964962209603,22.851999489218002,0.1717411726318822,0.08717096680751754,0.10906878319763443,0.086930996249502,55,0.24253350385044264,0.1883344994725024,724831,724828,724827
Moderate,1985-07-20,1985-07-17,1985-07-14,7,0,7,0,0,1296,1293,1290,12.53587775145472,159.42999643646183,2.797019545324922,2.215081784875718,23.1999994814396,0.8180784130870897,1.7908396787792458,22.775713776637406,0.3995742207607031,0.27533440055897973,0.2807569879311753,0.27185226047043265,55,0.23307598000536903,0.282489595587243,724842,724839,724836
Moderate,1987-10-05,1987-10-04,1987-10-01,5,0,5,0,0,2103,2102,2099,5.258155772926493,104.18999767117211,0.2149411716663927,1.0925970695125145,20.8799995332956,0.08411764517862608,1.0516311545852985,20.83799953423442,0.042988234333278544,0.02571370196249977,0.026381811326838218,0.025888179395219608,55,0.06631988184284292,0.10053915556465094,725649,725648,725645
Moderate,1988-07-02,1988-06-28,1988-06-27,6,0,6,0,0,2374,2370,2369,10.599098774597042,139.5299968812614,2.0528234835275327,1.9956964929608887,23.5299994740635,0.5700784186302918,1.7665164624328404,23.254999480210234,0.34213724725458877,0.14345367088404704,0.19128947966599713,0.1416269012662459,55,0.13529663537412753,0.2685030279026049,725920,725916,725915
Moderate,1988-11-02,1988-10-25,1988-10-23,11,0,10,0,0,2497,2489,2487,12.943169915418505,233.28999478556207,1.883568585349984,1.4911391661518785,21.4699995201081,0.4849019499459182,1.1766518104925914,21.208181344142005,0.17123350775908944,0.18093949827374178,0.16397439465908856,0.18045643910641512,55,0.0576029232075073,0.2611588555033258,726043,726035,726033
Moderate,1989-02-16,1989-02-03,1989-01-31,17,0,15,0,0,2603,2590,2587,33.20702459131451,419.8399906158447,9.152274305234709,2.752871974335175,25.3599994331598,1.3300391859575562,1.9533543877243829,24.69647003622616,0.5383690767785123,0.4452480671661161,0.38662857397935624,0.440773199680831,55,0.1046909555654303,0.4208570472035572,726149,726136,726133
Moderate,1989-05-12,1989-05-06,1989-05-04,9,0,9,0,0,2688,2682,2680,17.155957051850137,224.89999497309321,4.958431261719383,2.232921680766026,25.3599994331598,0.8911764506688655,1.9062174502055709,24.98888833034369,0.5509368068577092,0.3174332714025924,0.3546968718766225,0.32582477255586034,55,0.12625248503479453,0.5234090522019386,726234,726228,726226
Moderate,1989-06-06,1989-06-06,1989-05-24,14,0,14,0,0,2713,2713,2700,23.591242923243147,337.59999245405237,4.392117548887633,1.9715664227391976,24.1899994593114,0.5752941047882665,1.6850887802316534,24.114285175289456,0.31372268206340237,0.18397088769749814,0.20811103321429347,0.1822769057488146,55,0.5788159542207332,0.04284374647910475,726259,726259,726246
Moderate,1989-09-14,1989-09-10,1989-09-09,6,0,6,0,0,2813,2809,2808,7.621778579707382,126.8699971642344,1.583098003830525,1.4254604553636874,21.3099995236844,0.41996077492688144,1.2702964299512303,21.144999527372402,0.26384966730508747,0.08840507308832597,0.09742518279356774,0.0893448399934343,55,0.09783509267148736,0.24327643094040022,726359,726355,726354
Strong,1996-04-24,1996-04-18,1996-04-15,10,0,8,0,2,5227,5221,5218,18.167040051991602,251.35999438166618,5.5129802689322105,2.537032839095815,25.8699994217604,1.2756078146251575,1.8167040051991603,25.135999438166618,0.551298026893221,0.39959023435217617,0.4036384430610235,0.4008794956593501,55,0.1596282410335314,0.45460902904666006,728773,728767,728764
Moderate,1996-05-03,1996-05-02,1996-04-29,5,0,5,0,0,5236,5235,5232,7.04085167647127,123.0699972491712,0.5404313604695439,1.4465726463248423,24.6399994492531,0.13968627138759615,1.408170335294254,24.61399944983424,0.10808627209390878,0.03720258720002124,0.02870539954720831,0.031471777662672056,55,0.11144906933230914,0.23643794179486274,728782,728781,728778
Moderate,1996-08-25,1996-08-24,1996-08-21,5,0,5,0,0,5350,5349,5346,7.1875718157942,107.7299975920468,1.9745881911585883,1.6100345343148739,21.6999995149672,0.5716862617316174,1.43751436315884,21.54599951840936,0.39491763823171766,0.1591739535400415,0.1382172172559719,0.16418804242070315,55,0.25900231690302417,0.2372058963424339,728896,728895,728892
Moderate,1996-09-13,1996-09-11,1996-09-09,5,0,5,0,0,5369,5367,5365,7.34995500235539,106.73999761417511,2.318941124638201,1.6118851257498044,21.4899995196611,0.6053333198031048,1.4699910004710781,21.34799952283502,0.46378822492764016,0.18680767679040147,0.19229144116949531,0.1872333038400098,55,0.23135795950223467,0.15053572828330672,728915,728913,728911
Moderate,1996-12-24,1996-12-21,1996-11-17,38,0,38,0,0,5471,5468,5434,70.41040737106228,866.3099806364625,26.471175878911033,2.4543125096050993,23.809999467805,1.1940980125254868,1.8529054571332177,22.79763106938059,0.6966098915502904,0.3055847612610271,0.46828596946702,0.2997400402549515,55,0.32788047819884064,0.04361459731511182,729017,729014,728980
Moderate,1997-01-19,1997-01-09,1997-01-07,13,0,11,0,0,5497,5487,5485,25.155008921716153,311.10999304614984,7.272333170784169,2.5722442306227826,24.4499994534999,1.2295882078106715,1.935000686285858,23.93153792662691,0.5594102439064745,0.4538416528634861,0.45234169452369166,0.4584487107577456,55,0.08592458646391522,0.3674888914780787,729043,729033,729031
Strong,1998-09-12,1998-09-08,1998-08-25,19,0,16,0,1,6098,6094,6080,24.658740333617864,403.76999097503716,5.396470467614751,2.122128726941444,22.0199995078146,1.1179607593253067,1.2978284386114665,21.251052156580904,0.28402476145340794,0.3486986147261688,0.3499156923551426,0.34876703552791666,55,0.22784565291333514,0.07022101739753496,729644,729640,729626
